"id","title","meta_description","meta_keywords","meta_author","slug","created_at","updated_at","view_name"
"1","TS Scout","TS Scout",NULL,"mahmoud-hassan","Scout","2024-08-28 23:40:30","2025-09-17 01:35:25","index"
"2","Affiliate page","Scout Affiliate","Scout Affiliate DropShipping","mahmoud-hassan","Scout-Affiliate","2024-08-29 01:23:53","2024-09-09 13:33:30","affiliate"
"3","About Scout","DropShipping","DropShipping","mahmoud-hassan","About-Scout","2024-08-29 01:28:23","2024-09-09 13:33:16","about"
"4","Suppliers-Scouting","Suppliers-Scouting DropShipping","Suppliers-Scouting DropShipping","mahmoud-hassan","Suppliers-Scouting","2024-08-29 01:33:35","2024-09-09 13:34:09","suppliers-scouting"
"5","competitor-monitoring","competitor-monitoring","competitor-monitoring","mahmoud-hassan","competitor-monitoring","2024-08-29 15:14:09","2024-09-09 13:33:47","competitor-monitoring"
"6","tool","tool","tool","mahmoud-hassan","tool","2024-08-29 15:20:01","2024-08-29 15:20:01","tool"
"7","blog","blog","blog","mahmoud-hassan","Scout-Blog","2024-08-29 22:42:43","2024-09-09 13:34:25","blogs"
"8","product scouting | scout","product scouting","product scouting","mahmoud","product-scouting","2024-08-31 03:21:54","2024-10-10 20:20:12","product-scouting"
"9","Scout FAQS","FAQS","FAQS","mahmoud","FAQS","2024-08-31 04:09:10","2024-08-31 04:09:10","faqs"
"11","Scout Pricing Plans","Scout Pricing Plans","Scout Pricing Plans","mahmoud","Pricing-Plans","2024-08-31 04:22:27","2024-09-09 13:34:44","pricing"
"12","Scout Contact","Contact","Contact","mahmoud","Contact-Us","2024-08-31 04:31:56","2024-08-31 04:31:56","contact-us"
"14","Privacy-Policy","Privacy-Policy","Privacy-Policy","Scout-Admin","Privacy-Policy","2024-09-08 23:04:32","2024-09-08 23:04:32","privacy-policy"
"15","404","404","404","Scout Admin","404","2024-09-18 16:18:17","2024-09-18 16:18:17","404"
"16","terms-conditions","terms-conditions","terms-conditions","Scout-Admin","terms-conditions","2024-09-21 00:50:45","2024-09-21 00:50:45","terms-conditions"
"17","app-profile","app-profile","app-profile","Scout Admin","app-profile","2024-10-01 12:32:30","2024-10-01 12:32:30","app-profile"
"18","ebay-calculator","ebay-calculator","ebay-calculator","Scout Admin","ebay-calculator","2024-10-03 23:17:28","2024-10-03 23:17:28","ebay-calculator"
"19","Affiliate","Affiliate","Affiliate","Affiliate","Affiliate","2024-10-15 17:50:51","2024-10-15 17:50:51","affiliate-dashboard"
"20","title-builder","title-builder","title-builder","Scout Admin","title-builder","2024-10-18 19:12:53","2024-10-18 19:12:53","title-builder"
"21","Refund Policy",NULL,NULL,NULL,"refund-policy","2025-10-22 20:19:52","2025-10-22 20:19:52","Refund-policy"
